hero_id,name,role,within_role_pp,within_role_se_pp,specAplus_pp,diff_pp
1020,Mantis,Support,6.330989102107325,0.5239583980153982,6.759828530092422,-0.4288394279850971
1023,Rocket Raccoon,Support,4.369923607883522,0.4485201131292235,4.144346711056594,0.2255768968269285
1042,Peni Parker,Tank,3.718729133075175,0.6759764592936285,1.508323143924083,2.2104059891510923
1015,Storm,Damage,3.5458763048479525,0.6710291401382558,3.087285328310607,0.45859097653734526
1051,The Thing,Tank,3.174821859540338,0.6734159986724494,5.458551383538637,-2.283729523998299
1046,Adam Warlock,Support,2.934521460726367,0.5912430729364028,2.0849561724948744,0.8495652882314926
1011,Hulk,Tank,2.912529009070955,0.7257763793572571,1.3333322248189845,1.5791967842519703
1028,Ultron,Support,2.763049368065816,0.5869375008427093,3.5879290410803346,-0.8248796730145185
1061,Black Cat,Damage,2.7506308724605373,0.7864472342322613,4.850369818071364,-2.099738945610827
1024,Hela,Damage,2.705822360950181,0.7100799123557441,1.1377434383938474,1.5680789225563334
1034,Iron Man,Damage,2.5468175972730234,0.6579218522133427,1.3401807564353423,1.206636840837681
1037,Magneto,Tank,1.8251551172566147,0.4820692496823386,1.9647457367284584,-0.1395906194718437
1039,Thor,Tank,1.8176390196226209,0.752085626899483,1.288513567464279,0.529125452158342
1040,Mister Fantastic,Damage,1.4037495212834017,0.5925952492537623,2.520471274627081,-1.1167217533436795
1066,The Hood,Tank,1.3697730152190284,0.48801135713454225,0.4450571799956669,0.9247158352233615
1058,Gambit,Support,1.29270057568406,0.49034592958342615,-0.2985676594961132,1.591268235180173
1025,Cloak & Dagger,Support,0.9175638209523505,0.42656279786558743,-0.0384309575457122,0.9559947784980627
1029,Magik,Damage,0.8771204505797371,0.6631790097691558,3.469499168891472,-2.5923787183117346
1056,Angela,Tank,0.7420497016294236,0.6642838230168026,1.866857356932056,-1.1248076553026323
1041,Winter Soldier,Damage,0.734450595114212,0.5765122131571194,1.0026982456829792,-0.2682476505687672
1045,Namor,Damage,0.6696358353578261,0.7390676651729431,-0.8195718037731649,1.489207639130991
1030,Moon Knight,Damage,0.6101559320414729,0.7298424875402919,0.095207238423215,0.5149486936182579
1026,Black Panther,Damage,0.5470388272539929,0.7735003103067658,-0.2112328487932661,0.758271676047259
1052,Iron Fist,Damage,0.19383088275773194,0.7250674752489713,1.3220389312805194,-1.1282080485227874
1043,Star-lord,Damage,0.17459635069987992,0.6952690336061776,-2.408431162039145,2.583027512739025
1055,Daredevil,Damage,-0.02863313757441239,0.7307476115242583,2.924689977368577,-2.9533231149429895
1033,Black Widow,Damage,-0.07975369273144847,0.7116135202008349,0.0232996152695253,-0.10305330800097377
1036,Spider-man,Damage,-0.22631564238683918,0.6695443515367656,0.583177510327131,-0.8094931527139703
1016,Loki,Support,-0.3370085644169747,0.5927560698558341,1.1790727497888458,-1.5160813142058205
1059,Elsa Bloodstone,Damage,-0.44930215396243556,0.7705910266828838,-0.3853049792937649,-0.06399717466867066
1048,Psylocke,Damage,-0.46436430226640174,0.6580787033787309,-0.5818633296001482,0.11749902733374645
1044,Blade,Damage,-0.49444922736921504,0.6803006297412791,-0.1964774391709557,-0.2979717881982593
1035,Venom,Tank,-0.5400496188798146,0.6850735429467857,-0.934493160074428,0.39444354119461333
1022,Captain America,Tank,-0.6225723025381518,0.6266114986955852,-1.2159564571158248,0.593384154577673
1014,The Punisher,Damage,-0.851276530872844,0.7489519839757781,-1.8149266525074523,0.9636501216346083
1049,Wolverine,Damage,-0.8808670690593341,0.6124100452544501,0.8223889869616107,-1.7032560560209449
1027,Groot,Tank,-1.1985011136917385,0.7550638520344918,-0.665058830677258,-0.5334422830144805
1064,Jubilee,Support,-1.2319020036666832,0.4040138175695873,-1.914736426271772,0.6828344226050889
1017,Human Torch,Damage,-1.388926126146343,0.7506931235855735,-0.2802228530141166,-1.1087032731322264
1018,Doctor Strange,Tank,-1.418487024770345,0.6279456106886617,-0.975560901027489,-0.4429261237428559
1021,Hawkeye,Damage,-1.4379669111265794,0.6260693826950363,-1.2200700353979834,-0.21789687572859595
1063,Cyclops,Damage,-1.4680746438086285,0.7246833333207244,-4.039677307898817,2.5716026640901886
1038,Scarlet Witch,Damage,-1.673664092737371,0.6367737035273929,-2.4895977968278524,0.8159337040904815
1050,Invisible Woman,Support,-1.6862443694665459,0.4330282515921934,-1.3765375474359127,-0.30970682203063316
1062,Devil Dinosaur,Tank,-1.7962636180891465,0.8002317374471593,-0.0286309581171748,-1.7676326599719716
1065,Rogue,Tank,-1.8824368499111355,0.7513563529742141,-3.4137055329047947,1.5312686829936593
1032,Squirrel Girl,Damage,-2.1132446995661014,0.601036833685292,-3.7769246295725742,1.6636799300064729
10572,Deadpool (Duelist),Damage,-2.2510230931844313,0.7529856550328481,-0.6716563072879036,-1.5793667858965277
1031,Luna Snow,Support,-2.5005363065962007,0.4561528039470484,-3.005557865424292,0.5050215588280911
1060,White Fox,Support,-2.5741323166214287,0.5865841706928246,-3.481049299643569,0.9069169830221404
1054,Phoenix,Damage,-2.9518642078275614,0.6675364367497302,-4.283093144866129,1.3312289370385675
1053,Emma Frost,Tank,-3.0419730470208166,0.596469866974603,-1.770334692289599,-1.2716383547312176
1047,Jeff The Land Shark,Support,-3.042714809578816,0.6580707585534658,-1.749230325639186,-1.2934844839396302
10571,Deadpool (Vanguard),Tank,-5.060413280513008,0.6479484480850136,-4.8616400611955966,-0.19877321931741143
10573,Deadpool (Strategist),Support,-7.23620956507279,0.6657807013485271,-5.892023123056514,-1.3441864420162757
