kind,hero_a,hero_b,role_a,role_b,n_cooccur,effect_pp,se_pp,z,p_raw,is_teamup,q
synergy,Ultron,Adam Warlock,Support,Support,6510,8.828019106121161,0.8103896603366374,10.893548546083357,1.2372352398002977e-27,True,2.968127340280914e-24
synergy,Moon Knight,Blade,Damage,Damage,4378,8.456173610347603,0.8853720159795689,9.55098360658232,1.2847067986354154e-21,True,7.705029024815904e-19
synergy,Squirrel Girl,Iron Man,Damage,Damage,3394,7.986244199842574,0.9919039861831763,8.051428677662097,8.183309891493386e-16,True,3.926352085938526e-13
synergy,Iron Fist,White Fox,Damage,Support,15235,7.00618727996542,0.6586927015024766,10.636503583513711,2.0155121341670517e-26,True,2.4176068049333785e-23
synergy,Gambit,Rogue,Support,Tank,26196,6.763239303573819,0.6715565893876915,10.07098941541229,7.422756408957107e-24,True,5.9357308750293674e-21
synergy,Loki,Mantis,Support,Support,7635,5.4219098644509796,0.8851829935515375,6.125185305127874,9.057812738965126e-10,True,2.4144103067530374e-07
synergy,Mantis,Adam Warlock,Support,Support,4710,5.141256789659224,0.8962934318969162,5.736131278769123,9.686359229394449e-09,True,1.93646464927644e-06
synergy,The Punisher,Rocket Raccoon,Damage,Support,24911,4.157519585431722,0.6060446464864279,6.860087964698866,6.881815879134408e-12,True,2.063684536755431e-09
synergy,Storm,Jeff The Land Shark,Damage,Support,8014,4.127624155587794,0.7797437162084284,5.293565141709286,1.1995448464853218e-07,True,2.0669564499101744e-05
synergy,Luna Snow,White Fox,Support,Support,18249,4.039482655536736,0.6933641461178559,5.82591799439557,5.67995035617724e-09,True,1.2387455367699272e-06
synergy,Adam Warlock,Jubilee,Support,Support,6613,3.902205397369825,0.7692228253380794,5.072919404926362,3.917584514295622e-07,False,4.929761120586459e-05
synergy,Doctor Strange,Invisible Woman,Tank,Support,45963,3.757954748990456,0.5435842044474309,6.913289087953771,4.735435342067499e-12,True,1.622901340802847e-09
synergy,Loki,Devil Dinosaur,Support,Tank,3444,3.5031486246353647,1.0284282222521253,3.4063131960380475,0.0006584659427298044,False,0.019745747457610006
synergy,Human Torch,Jubilee,Damage,Support,21864,3.277134664166273,0.6361676590071722,5.151369482190741,2.585911588440227e-07,True,3.649177588628297e-05
synergy,Adam Warlock,Invisible Woman,Support,Support,5394,3.2582112855465466,0.8281552162980446,3.9343002633143467,8.343942196064802e-05,False,0.004170232776741554
synergy,Cloak & Dagger,Adam Warlock,Support,Support,7961,3.238506452392792,0.7451318013767267,4.346219616998275,1.3850389824958752e-05,False,0.000894948507028924
synergy,Mantis,Star-lord,Support,Damage,18232,3.2158173470728233,0.662243762264152,4.855942071961889,1.1981572756251232e-06,True,0.0001197658043426946
synergy,Phoenix,Cyclops,Damage,Damage,9156,3.2088011938317216,0.6923882106354686,4.634396057793515,3.579810470015751e-06,True,0.0003067130470559924
synergy,Human Torch,Ultron,Damage,Support,2568,3.1795239183093758,1.0799059607955144,2.944259994608396,0.0032372792149905046,False,0.056326519491328206
synergy,Gambit,Deadpool (Duelist),Support,Damage,15503,3.1705518737826837,0.6461924811551738,4.906513099803959,9.270979957369556e-07,False,9.67003518162155e-05
synergy,Storm,Adam Warlock,Damage,Support,2267,2.9810732915555356,1.208348482410588,2.4670642078421454,0.013622592798408837,True,0.14208956575383824
synergy,Rocket Raccoon,Mister Fantastic,Support,Damage,11258,2.9643690295568175,0.696976433104106,4.2531840228147795,2.107522438971155e-05,True,0.0012037967454980479
synergy,Invisible Woman,The Thing,Support,Tank,33487,2.923993681208913,0.5624153873175114,5.1989930345881055,2.003710332376473e-07,True,3.004313179606974e-05
synergy,Luna Snow,Adam Warlock,Support,Support,5454,2.9043949006338754,0.8699798369301813,3.338462315267385,0.0008424345648724996,True,0.024059530013441983
synergy,Hulk,Captain America,Tank,Tank,3080,2.8374658654808265,1.0912308256478336,2.6002435037484406,0.00931576313322725,True,0.11230409927945816
synergy,Magik,The Hood,Damage,Tank,71837,2.8356710176474094,0.39915465707201486,7.1041912386751935,1.210291718993577e-12,True,4.839149723109319e-10
synergy,Captain America,Hela,Tank,Damage,3056,2.7615191075838883,0.99569290276603,2.7734646896773114,0.005546285905155721,False,0.07781017477467003
synergy,Black Panther,Elsa Bloodstone,Damage,Damage,2926,2.7544819945624512,0.9830266025593443,2.8020421699586366,0.0050780235434098485,False,0.07338661735325437
synergy,Hulk,Doctor Strange,Tank,Tank,8759,2.683092078358536,0.7223994344290313,3.714139228914531,0.00020389652067056367,True,0.00873478130515504
synergy,White Fox,Black Cat,Support,Damage,10182,2.659752452316612,0.7358930198951237,3.614319446453872,0.00030113758633499064,True,0.011652081768026493
synergy,Hulk,Venom,Tank,Tank,4377,2.649417363780072,0.8864766592680475,2.988705157750754,0.002801623417154411,False,0.05376875662202745
synergy,Black Panther,Namor,Damage,Damage,2594,2.631927155719123,1.0534135636854574,2.498474717290615,0.012472903936225244,False,0.1347860204639836
synergy,Devil Dinosaur,Deadpool (Strategist),Tank,Support,4889,2.6292253983524914,0.9278159501679478,2.8337790462392505,0.004600112614661812,False,0.07094041209815839
synergy,Loki,Angela,Support,Tank,3328,2.597026931317969,1.0766587852721337,2.412116974145668,0.015860192185733285,True,0.15311368842632264
synergy,Black Panther,Deadpool (Vanguard),Damage,Tank,2584,2.5610493320463625,1.0617105721955258,2.4121916076905343,0.015856945760196948,False,0.15311368842632264
synergy,Black Widow,Phoenix,Damage,Damage,4277,2.526941446853468,0.900890665546277,2.804936873578544,0.005032643506115587,True,0.07338661735325437
synergy,Namor,Deadpool (Vanguard),Damage,Tank,3222,2.5214744804936244,0.9850198434231782,2.55982099988047,0.010472608908782897,False,0.12137096025202981
synergy,White Fox,Deadpool (Strategist),Support,Support,3196,2.433611628886062,1.0747795270693858,2.264289156606676,0.023556336066396105,False,0.19287252635933194
synergy,Groot,Namor,Tank,Damage,4624,2.409783327623557,0.848378710897637,2.840457093830016,0.004504893260479992,False,0.07058572068371384
synergy,Wolverine,Gambit,Damage,Support,11243,2.3984569997276894,0.7011625615798068,3.4206860593407415,0.0006246339227093858,True,0.018968313678225525
synergy,Hela,Phoenix,Damage,Damage,4948,2.389746226355676,0.8440864868036989,2.831162758457282,0.004637911388309989,True,0.07094041209815839
synergy,Peni Parker,Iron Fist,Tank,Damage,3331,2.346728093132927,0.9673045417540651,2.426048872754675,0.015264214548429017,False,0.1506948588546552
synergy,Human Torch,Groot,Damage,Tank,3072,2.3367746427666867,0.9924491610167279,2.354553497100795,0.01854497407836045,False,0.16416750115862258
synergy,Adam Warlock,Gambit,Support,Support,4495,2.326239562831246,0.8729301014277534,2.664863497119046,0.007701957869694463,False,0.09880747021067925
synergy,Cloak & Dagger,Moon Knight,Support,Damage,21370,2.317597429683078,0.6292643003157619,3.6830270341414866,0.00023048070608706108,True,0.00953315886039413
synergy,Spider-man,Peni Parker,Damage,Tank,6465,2.2615103847323947,0.7747720972350418,2.918936281782903,0.0035122800774748907,True,0.059337745815931424
synergy,Doctor Strange,Scarlet Witch,Tank,Damage,9514,2.243149786989955,0.7110007821950476,3.154918873738448,0.0016054273959949094,True,0.03640856894498475
synergy,Hawkeye,Psylocke,Damage,Damage,3815,2.237527808983998,0.9357367587326877,2.3911936643531964,0.016793691844428544,True,0.15695917601261786
synergy,Winter Soldier,Elsa Bloodstone,Damage,Damage,19432,2.2318497247194533,0.4918897355093278,4.537296803740948,5.697988743245199e-06,True,0.0004409508062917817
synergy,Devil Dinosaur,Jubilee,Tank,Support,21719,2.2269479211577394,0.6422440961269417,3.467447866920642,0.0005254256506252606,False,0.017397694700118288
synergy,Venom,Rogue,Tank,Tank,2545,2.2021864853960254,1.1087919167315747,1.9861134015907052,0.047020733526672326,False,0.29355895018356776
synergy,Mister Fantastic,Gambit,Damage,Support,7586,2.19661429868621,0.7258405921091573,3.0263040157388534,0.0024756325116395265,False,0.04990791928927079
synergy,Squirrel Girl,Spider-man,Damage,Damage,3317,2.18219189104881,0.9864785860134219,2.21210264671586,0.02695957329662095,True,0.20863231076965696
synergy,Mantis,Groot,Support,Tank,14302,2.181851667960216,0.7390294310476754,2.952320403352736,0.0031539548111552762,True,0.056046945125640804
synergy,Jeff The Land Shark,Deadpool (Strategist),Support,Support,3145,2.170899914106535,1.050270956523374,2.0669903329448305,0.038735064875746586,False,0.25812616843587793
synergy,Blade,Cyclops,Damage,Damage,3142,2.152102491418053,0.95250105230907,2.259422691660957,0.023857104205752856,False,0.19421367588231248
synergy,Invisible Woman,Devil Dinosaur,Support,Tank,16544,2.143267511708062,0.6735125679236712,3.1822234859186134,0.0014614899666298292,False,0.0350611442994496
synergy,Scarlet Witch,Jubilee,Damage,Support,17267,2.1406988670456086,0.621605469751131,3.4438224423968946,0.0005735522318421027,True,0.018066700422488802
synergy,Luna Snow,Daredevil,Support,Damage,16200,2.116237599934293,0.6150326843125159,3.4408538829116457,0.0005798815892170228,False,0.018066700422488802
synergy,Star-lord,Rogue,Damage,Tank,2774,2.1091119356976034,1.0644519431966568,1.981406440354392,0.04754571210106202,False,0.29359572013870416
synergy,Hela,Black Panther,Damage,Damage,4020,2.108319711228396,0.8554036001320252,2.464707549632702,0.013712512145143182,False,0.1424082971264004
synergy,Jubilee,The Hood,Support,Tank,153104,2.097638590382569,0.4146456818493485,5.058869975510067,4.217483111294073e-07,True,4.929761120586459e-05
synergy,Iron Man,Spider-man,Damage,Damage,4013,2.094868882606818,0.8599092228686562,2.436151197004653,0.014844478256519756,False,0.14838293057246205
