hero_id,name,role,apm_t0,se_t0,apm_t1,se_t1,apm_t2,se_t2,top_minus_bottom,se_diff,z_diff
1011,Hulk,Tank,1.6103653675491687,0.42171055018337056,1.6161166406600054,0.37970797337266665,0.9622724001321522,0.3507885953757273,-0.6480929674170165,0.5485366230085617,-1.1814944348882626
1014,The Punisher,Damage,-1.503765103625602,0.4258317761078923,-1.424229798555195,0.4674301425335342,-2.5013668662579884,0.4774387299780543,-0.9976017626323865,0.639750296933311,-1.5593611560861516
1015,Storm,Damage,2.9944845797530593,0.5308190152174113,3.4568144161518295,0.5291385858359319,2.910421245285884,0.5277542519716696,-0.08406333446717529,0.7485274727026114,-0.11230494208002635
1016,Loki,Support,0.05341185870320342,0.485321279782,1.4688457108789843,0.47417207730350464,1.9721985159156727,0.4402775838984198,1.9187866572124692,0.6552717722385639,2.9282302984873567
1017,Human Torch,Damage,-0.2167948916917392,0.6903724058999411,0.25142872879407907,0.602810980923774,-0.7324943234680606,0.5617787579729625,-0.5156994317763215,0.8900614763811079,-0.5793975421485477
1018,Doctor Strange,Tank,-0.5072156134066722,0.3431230539738624,-0.8784906477290445,0.34474651691209646,-1.614927273920656,0.3662900732199413,-1.1077116605139836,0.5018982445753521,-2.2070443012830223
1020,Mantis,Support,5.552626906179045,0.348055015121035,6.667003345780978,0.3177987029710239,7.787214004302161,0.2899319140771404,2.234587098123116,0.4529931658991537,4.932937771119895
1021,Hawkeye,Damage,-0.43531265959163523,0.5809823651403583,-0.8179711375603971,0.56922091244291,-2.4915496786689166,0.6332862219281288,-2.0562370190772814,0.8594137231206445,-2.3926043577833664
1022,Captain America,Tank,-0.539922524194652,0.5669724562056703,-1.396346578962075,0.6169103235696134,-1.799603521760496,0.6586840719853396,-1.259680997565844,0.8690929022740197,-1.4494204178515708
1023,Rocket Raccoon,Support,4.167816052518211,0.2721064485705659,4.717818817103117,0.2602989520209779,3.780954931814568,0.25390490515739084,-0.3868611207036432,0.3721688060768522,-1.0394775553106326
1024,Hela,Damage,0.9640539760763733,0.3709943125733125,0.9210318310814539,0.3572789955412975,1.4330895239500605,0.3188593178780602,0.4690355478736872,0.48919121472018134,0.9587979787044556
1025,Cloak & Dagger,Support,0.23086981148495808,0.2885065298361128,0.5378761867379355,0.2976037699592125,-0.7085816800653622,0.30080321211780703,-0.9394514915503203,0.4167956215922454,-2.2539859894914955
1026,Black Panther,Damage,0.8542662413873012,0.4551824212905197,0.3825046367136194,0.4095041480664539,-1.3977186851964318,0.39173050445929275,-2.251984926583733,0.600536280982117,-3.749956493720641
1027,Groot,Tank,-0.95845509764713,0.5027195364744872,-1.2365255784451392,0.4978625794137577,0.19108984546972757,0.5095403857314763,1.1495449431168576,0.7157921046257111,1.6059760029316845
1028,Ultron,Support,4.698386404660471,0.4977991077654972,3.263787516423177,0.5141981503625737,2.8269232892521576,0.5344750001180735,-1.871463115408313,0.7303885797596644,-2.5622841967547205
1029,Magik,Damage,3.7039908966424653,0.38626244533575493,3.834392424535704,0.38213763628109115,2.973508453891962,0.37542037079797963,-0.7304824427505032,0.5386456455656627,-1.356146566419156
1030,Moon Knight,Damage,-0.20867320633808317,0.44940517887794745,0.37710699351137444,0.5116749483021923,0.658368287406374,0.630786588742182,0.8670414937444572,0.7745041867797221,1.1194794147588691
1031,Luna Snow,Support,-3.068250926652442,0.3121960745021033,-3.3064125474873842,0.29178735152474683,-2.7020081759850507,0.27118445684236925,0.3662427506673911,0.4135304082741844,0.8856488987009632
1032,Squirrel Girl,Damage,-3.260379075634159,0.4701832641171664,-4.495224954701459,0.6415078021541711,-3.9582391489530897,0.9244932961632462,-0.6978600733189309,1.03718858290412,-0.6728381750644883
1033,Black Widow,Damage,-0.19031445155185892,0.36985564832937284,-0.45637515810802426,0.3597215750931723,0.5306113951276151,0.3237953999412286,0.720925846679474,0.49156552119146935,1.4665915642986413
1034,Iron Man,Damage,2.061362778856834,0.44308677864240986,1.2733075518793637,0.47038114867852054,0.2585727961196788,0.5639713774240668,-1.8027899827371552,0.7172095983471687,-2.513616642738384
1035,Venom,Tank,-0.7015834130832814,0.37701616860027654,-1.0166103792117878,0.38091125110268975,-1.124761989521128,0.3811580160828115,-0.4231785764378466,0.5361181069598535,-0.7893383397131479
1036,Spider-man,Damage,0.35862262451405874,0.32012167190334795,0.7122663607533863,0.3014350592495085,0.6628311724227351,0.29309332054246806,0.3042085479086764,0.43402946831845957,0.7008937643963614
1037,Magneto,Tank,1.4575621220253878,0.24277224210739454,1.76957339014206,0.23876715699627094,2.7170003561548017,0.2438314010490694,1.259438234129414,0.3440815509082164,3.660289924888674
1038,Scarlet Witch,Damage,-2.322783177852893,0.5635176149173005,-2.0243032976279474,0.759881681444075,-3.556332887719111,1.0366946287003647,-1.2335497098662178,1.179952480186499,-1.0454232103239
1039,Thor,Tank,0.5060500541546779,0.3700909535831071,1.4337900113732407,0.3791362613318138,2.040614113256666,0.39080858253915896,1.5345640591019882,0.538236622788082,2.8510955853447872
1040,Mister Fantastic,Damage,2.615007076576596,0.5743226679378928,2.6206745896759442,0.5938351408901371,2.3613222540694223,0.6696744295692764,-0.2536848225071737,0.8822190025873591,-0.28755311522781823
1041,Winter Soldier,Damage,1.4797770542535356,0.252018690996928,1.345245813488009,0.244581652530339,0.3205181845128982,0.24106560907980307,-1.1592588697406374,0.34874926307136694,-3.324046793766014
1042,Peni Parker,Tank,0.8674997979263355,0.5278107782904489,1.7019043875545754,0.5770617265561311,2.221385456917292,0.6129548254310989,1.3538856589909567,0.8088867879368771,1.6737640905770481
1043,Star-lord,Damage,-2.2589021213391676,0.4954871549495637,-3.066254916645451,0.5228305139700266,-1.865816663796485,0.5506104793929086,0.39308545754268254,0.7407289792746747,0.5306737937100742
1044,Blade,Damage,0.12468082572244174,0.5182159541651347,0.18823991142414928,0.5518903628742647,-0.8792830575997943,0.5901779965384586,-1.003963883322236,0.7854029811182472,-1.2782786766263663
1045,Namor,Damage,0.07545385442534643,0.39074136802315745,-1.1095182062243039,0.4122573625454541,-1.6899047039085309,0.4776743376244377,-1.7653585583338773,0.61713174404624,-2.860586212530989
1046,Adam Warlock,Support,3.0210222894521475,0.5509529338317477,2.1503962746417886,0.5555525156340121,1.2478601386344546,0.535432933066765,-1.773162150817693,0.7682691983349905,-2.3079958882388203
