teamup_id,name,effect_logodds,effect_pp,std_error
1032001,SQUIRREL MISSILE,0.3469783718052118,8.674459295130294,0.038607983488810504
1044001,BLADE OF KHONSHU,0.33230519759024446,8.307629939756112,0.03403003946999403
1065001,MR. & MRS. X,0.2777101893196738,6.942754732991845,0.018882654361008822
1046002,FLAWLESS DESIGN,0.2709413645865926,6.773534114664816,0.030719222467001515
1052001,KUMIHO PALM,0.2649325884653282,6.6233147116332045,0.01991841555232773
1020001,STAR BLOSSOM,0.1705716868133845,4.264292170334612,0.020102296747583827
1014001,AMMO OVERLOAD,0.16561141716957856,4.140285429239464,0.016881867940806438
1015002,JAWS OF FATE,0.1551351038614131,3.8783775965353278,0.026665195382348898
1017001,FIERY SPARKS,0.14845500491383243,3.7113751228458107,0.01874968677892837
1016001,VIBRANT VITALITY,0.14137696618541332,3.534424154635333,0.026661124188857507
1018001,GAMMA MAELSTROM,0.13896867767326795,3.474216941831699,0.02410168723631827
1029002,VOID PENTAGRAM,0.13412114642935616,3.353028660733904,0.011791054572675373
1046001,COSMIC CYCLONE,0.13214026313967556,3.303506578491889,0.04595475760996174
1031001,ATLAS BOND,0.12758708033747673,3.1896770084369184,0.017893791688695537
1042002,ROCKET NETWORK,0.12172062747814602,3.0430156869536504,0.021708357310852595
1063001,SLIM AND RED,0.11227158282180359,2.8067895705450896,0.025619463326329278
1020002,VITALITY PACT,0.10985469302660997,2.746367325665249,0.03321854001262453
1025001,OBLIVION SHROUD,0.10421631395618897,2.6054078489047243,0.009332115650271894
1018002,PSIONIC VORTEX,0.10330444024780282,2.5826110061950702,0.013052418433909254
1033002,BURNING BULLETS,0.09909058502709786,2.4772646256774467,0.034374269864371504
1038002,HEX FIREWORKS,0.0990464272589349,2.4761606814733725,0.020404208702496932
1064001,HELLFIRE SPARKS,0.09880519863711865,2.470129965927966,0.009426439633877948
1021002,SENBONZAKURA STRIKE,0.09427793129875532,2.356948282468883,0.036259462261079
1011001,SAVAGE SLAM,0.09360784166153323,2.3401960415383307,0.03991753897842291
1032002,ESU ALUMNUS,0.08851812381462987,2.2129530953657466,0.03834295537112683
1028002,SP//DR SYNC,0.0849705572476945,2.124263931192363,0.042868511861448154
1036002,PARKER POWER-UP,0.08082134332655987,2.0205335831639966,0.028555747608823453
1041002,EXPERT INSTINCT,0.08034700136833799,2.0086750342084496,0.017695055132677447
1054001,CIRCLE OF LIFE,0.0796917969360867,1.9922949234021676,0.03232777361583229
1030001,LUMINOUS MOON,0.07897914302250185,1.9744785755625462,0.01860279318447896
1043002,STAR-SOUL,0.07878440483971656,1.969610120992914,0.04759836338787101
1034002,THUNDER OVERDRIVE,0.07525110568672787,1.8812776421681967,0.02751399402536884
1038001,SORCERERS SUPREME,0.07432802343791879,1.8582005859479698,0.025115480079388436
1027001,WILD WALL,0.07317201505007043,1.8293003762517608,0.021387700545391942
1026001,DAMISA-YAO,0.07136775176356991,1.7841937940892478,0.03984296277346891
1060001,LUCKY LOAN,0.07044136389813796,1.761034097453449,0.023456584207380855
1024001,HEL TENDRILS,0.06918799857056615,1.7296999642641537,0.022085368565189178
1039001,RAGNAROK REBIRTH,0.06839583314674368,1.709895828668592,0.022080763383059848
1035002,ABYSSAL FLAMES,0.06755324717745528,1.6888311794363822,0.023824767397825988
1014002,BESTIAL HUNT,0.06511034069816793,1.6277585174541982,0.034020622274466436
1040001,FANTASTIC AMPLIFIER,0.06510996783793206,1.6277491959483015,0.02363166417117385
1044002,BLEED FOR BATTLE,0.06394241868115554,1.5985604670288884,0.03920929187240922
1021001,MOONLIT SLASH,0.06333785244533811,1.583446311133453,0.02165988640627248
1028001,STARK PROTOCOL,0.06197487003180107,1.5493717507950266,0.0345755536928491
1053002,SPIRIT BREAKER,0.059837705555403964,1.4959426388850992,0.014506971430715023
1055002,DEVILISH AFFAIR,0.05937942783557399,1.4844856958893498,0.029109398491366727
1049002,PAIR OF THREES,0.05910687349718319,1.4776718374295796,0.023230997856740553
1029001,CHAIN OF CYTTORAK,0.05772986498410902,1.4432466246027256,0.01553940378663117
1047001,GUARDIAN OF THE DEEP,0.05641350577289192,1.410337644322298,0.023982441480121495
1056002,ASGARDIANS OF THE GALAXY,0.05491249324042124,1.372812331010531,0.04026196732022253
1056001,ODIN'S UNACKNOWLEDGED,0.05483258174608013,1.3708145436520034,0.03829357746103127
1050001,UNITED SIBLINGS,0.052946645067872174,1.3236661266968044,0.020266438640760907
1058001,FAVORABLE ODDS,0.05241804964466084,1.310451241116521,0.011061495444723712
1043001,FLORA MUNITIONS,0.05059572637399529,1.2648931593498822,0.03132981876743104
1059001,PREHISTORIC TRAP,0.04837170887349682,1.2092927218374205,0.023297145167264124
1051002,UNBREAKABLE FORCES,0.04822664235762485,1.2056660589406214,0.014305138702932955
1065002,EXPLOSIVE ENTANGLEMENT,0.043134343055134354,1.0783585763783587,0.020018405286938722
1025002,FROZEN HAVEN,0.04238804423902813,1.0597011059757033,0.012699159259686926
1022002,STARS ALIGNED,0.038360821091192834,0.9590205272798209,0.02685948454650009
1045002,GAMMA MONSTRO,0.03410549441779971,0.8526373604449928,0.023390365417651864
1062002,SURF & TURF,0.032589895220027636,0.8147473805006908,0.027170206248244413
1054002,TELEKINETIC BEATDOWN,0.03210259693026405,0.8025649232566012,0.04263950179587361
1052002,IRON & STONE,0.02885639302821902,0.7214098257054755,0.019613714587974465
1053001,ICED OUT DIAMOND,0.027309666456351113,0.6827416614087778,0.013297692777484053
1049001,BLAST SLASH,0.027216784355974397,0.6804196088993599,0.03522188935944945
1060002,PSIONIC FOX,0.023947773753610634,0.5986943438402659,0.031125021020694667
1042001,VIBRANIUM MECH,0.020200613578090033,0.5050153394522509,0.04164143567275646
1023002,MAMMALIAN BOND,0.019544209539575173,0.4886052384893793,0.02904717891375161
1016002,VILLAIN'S ILLUSION,0.017670031065807293,0.4417507766451823,0.028328584486819786
1024002,DEEP WRATH,0.00829059570006054,0.2072648925015135,0.022081661355941192
1058002,SPARKLING STAFF,0.008266444296018562,0.20666110740046403,0.012896960376665816
1040002,CLOBBERIN' RESEARCH DEPT.,0.006300842168249956,0.1575210542062489,0.030924680435991333
1031002,DUALITY DANCE,0.005182585503666759,0.12956463759166897,0.030514144588671924
1045001,CHILLING CHARISMA,0.003897072612192528,0.0974268153048132,0.019315528189484683
1062001,PRIMAL PUNISHMENT,0.0037912516716745006,0.09478129179186251,0.02798347301202471
1036001,SYMBIOTE BOND,0.002520343732798791,0.06300859331996977,0.0169540084414142
1048001,LIGHT & DARK DARTS,-0.0011658071519112488,-0.02914517879778122,0.020555594934842106
1027002,BUBBLE BUDDIES,-0.0012955793106874279,-0.032389482767185694,0.03274020508618113
1035001,BLOOD LEECH,-0.0016669392444493233,-0.041673481111233084,0.029996832916576312
1041001,TIMELESS VETERANS,-0.0017722886171701977,-0.04430721542925494,0.021519521357050635
1030002,BLOOD MOON,-0.001966161634508836,-0.0491540408627209,0.03761190091137759
1022001,VOLTAIC UNION,-0.00357736893669758,-0.08943422341743949,0.04313810816901974
1037002,MAGNETIC RESONANCE,-0.005031812418650227,-0.1257953104662557,0.012502439312564615
