hero_id,name,role,effect_logodds,effect_pp,std_error,ci_low_pp,ci_high_pp,p_adjusted,within_role_logodds,within_role_pp,within_role_se,within_role_ci_low_pp,within_role_ci_high_pp
1042,Peni Parker,Tank,0.6217608057094091,15.544020142735226,0.046526589794506065,13.26421724280443,17.823823042666024,0.0,0.4023720364217477,10.059300910543692,0.020229596153675297,9.068050699013602,11.05055112207378
1020,Mantis,Support,0.5126395442512816,12.815988606282039,0.039995821916828815,10.856193332357428,14.77578388020665,0.0,0.3973365807677229,9.933414519193072,0.009358226551935685,9.474861418148222,10.39196762023792
1029,Magik,Damage,0.14150626811110542,3.5376567027776353,0.026383602014974337,2.244860204043893,4.830453201511379,1.663485959679389e-07,0.31890515939263075,7.972628984815769,0.011896521581208064,7.389699427336574,8.555558542294964
1061,Black Cat,Damage,0.12645055979918737,3.1612639949796844,0.027638074293871842,1.806998354579964,4.515529635379405,8.176025235312467e-06,0.3038494510807127,7.596236277017818,0.014128678889401048,6.903931011437166,8.28854154259847
1028,Ultron,Support,0.3843856391490948,9.60964097872737,0.04196667164520842,7.553274068112158,11.666007889342582,0.0,0.2690826756655361,6.727066891638403,0.015295694623794872,5.977577855072455,7.476555928204352
1015,Storm,Damage,0.07784569850686567,1.9461424626716417,0.028703422086976228,0.5396747804098064,3.3526101449334766,0.009193856482567042,0.25524458978839104,6.381114744709776,0.016161286406289437,5.589211710801593,7.173017778617958
1055,Daredevil,Damage,0.04802269235489613,1.2005673088724034,0.02654291020362917,-0.10003529110542593,2.5011699088502324,0.08239768876371638,0.22542158363642148,5.635539590910537,0.01193316515891042,5.050814498123926,6.220264683697148
1051,The Thing,Tank,0.41238374944069134,10.309593736017284,0.04263035430478826,8.22070637508266,12.398481096951908,0.0,0.19299498015302988,4.824874503825747,0.009512545920493434,4.358759753721569,5.290989253929925
1023,Rocket Raccoon,Support,0.2942422411416089,7.356056028540222,0.03949535338027966,5.42078371290652,9.291328344173925,3.2057689836051395e-13,0.17893927765805023,4.473481941451256,0.007218189981549567,4.119790632355327,4.827173250547184
1046,Adam Warlock,Support,0.27864097899886653,6.966024474971663,0.04225294010591154,4.895630409781998,9.036418540161328,1.1726580817494892e-10,0.1633380155153079,4.0834503878826975,0.015757677850617276,3.3113241732024514,4.8555766025629445
1040,Mister Fantastic,Damage,-0.052550864519565116,-1.313771612989128,0.02898049032654345,-2.733815638989757,0.10627241301150117,0.08239768876371638,0.12484802676196022,3.1212006690490055,0.01663599265386314,2.306037029009712,3.936364309088299
1052,Iron Fist,Damage,-0.06424137367459284,-1.606034341864821,0.026302120280654373,-2.894838235616885,-0.3172304481127569,0.019103751054186935,0.11315751760693249,2.8289379401733123,0.011660368202179784,2.2575798982665027,3.400295982080122
1056,Angela,Tank,0.3052189391098302,7.630473477745755,0.04373287420692353,5.487562641606503,9.773384313885009,9.606890446554965e-12,0.08583016982216879,2.14575424555422,0.01322146824389602,1.4979023016033148,2.7936061895051245
1011,Hulk,Tank,0.29953112752424793,7.488278188106198,0.043327919536144045,5.36521013083514,9.611346245377256,1.3724226433671567e-11,0.0801423582365865,2.0035589559146625,0.011798601789361722,1.4254274682359382,2.5816904435933865
1034,Iron Man,Damage,-0.10501747044349385,-2.6254367610873466,0.02745768179157857,-3.9708631688746965,-1.2800103532999965,0.00018950390650053275,0.0723814208380315,1.8095355209507873,0.013966468156539492,1.1251785812803523,2.4938924606212223
1016,Loki,Support,0.18466429881442287,4.616607470360572,0.0412746168043717,2.594151246946358,6.639063693774785,1.2792544492231292e-05,0.0693613353308642,1.7340333832716048,0.013316910620487777,1.081504762867704,2.3865620036755057
1036,Spider-man,Damage,-0.12588359950297345,-3.1470899875743363,0.02524345162999174,-4.384019117443931,-1.9101608577047409,1.0892333845990976e-06,0.05151529177855189,1.287882294463797,0.009027568068777475,0.845531459093701,1.7302331298338933
1017,Human Torch,Damage,-0.12950277801226145,-3.237569450306536,0.031222604406927534,-4.767477066245986,-1.707661834367087,5.130206675480537e-05,0.04789611326926391,1.1974028317315977,0.020177945002482135,0.20868352660997314,2.186122136853222
1024,Hela,Damage,-0.13644123754757082,-3.4110309386892705,0.025636238325892152,-4.667206616657986,-2.154855260720555,2.0137595717934736e-07,0.040957653733954526,1.023941343348863,0.009916166901006895,0.5380491651995253,1.5098335214982008
1026,Black Panther,Damage,-0.13979785313178883,-3.494946328294721,0.027317932047059654,-4.833524998600644,-2.1563676579887976,5.87384910213067e-07,0.037601038149736546,0.9400259537434137,0.013725965623576876,0.2674536381881467,1.6125982692986804
1049,Wolverine,Damage,-0.14276145628742604,-3.569036407185651,0.02813821920563329,-4.947809148261682,-2.1902636661096193,7.157404346610127e-07,0.0346374349940993,0.8659358748524825,0.015224086982938149,0.11995561268851318,1.6119161370164516
1039,Thor,Tank,0.2536618584970318,6.341546462425796,0.043005694880216064,4.234267413295209,8.448825511556382,9.617011525755342e-09,0.034273089209370354,0.8568272302342589,0.010790578937030228,0.32808886231977774,1.38556559814874
10572,Deadpool (Duelist),Damage,-0.14512329848692282,-3.6280824621730705,0.026324155754984275,-4.9179660941673005,-2.338198830178841,7.465260986306586e-08,0.03227559279460254,0.8068898198650636,0.011636058718779463,0.23672294264486987,1.3770566970852574
