hero_id,beta_C_pp,beta_A_pp,name,role,shift_pp
1011,2.0309139415748585,1.3333322248189845,Hulk,Tank,0.697581716755874
1014,-2.511439618541934,-1.8149266525074523,The Punisher,Damage,-0.6965129660344815
1015,5.202610228233896,3.087285328310607,Storm,Damage,2.1153248999232885
1016,1.3606311764002632,1.1790727497888458,Loki,Support,0.1815584266114174
1017,-0.8909354510749966,-0.2802228530141166,Human Torch,Damage,-0.6107125980608801
1018,-1.7421920665096842,-0.975560901027489,Doctor Strange,Tank,-0.7666311654821951
1020,10.411855570811998,6.759828530092422,Mantis,Support,3.6520270407195756
1021,-1.9633090747044297,-1.2200700353979834,Hawkeye,Damage,-0.7432390393064463
1022,-3.107579080142304,-1.2159564571158248,Captain America,Tank,-1.8916226230264794
1023,6.738724848322453,4.144346711056594,Rocket Raccoon,Support,2.594378137265859
1024,1.6220854165349983,1.1377434383938474,Hela,Damage,0.4843419781411509
1025,0.5189426618747945,-0.0384309575457122,Cloak & Dagger,Support,0.5573736194205068
1026,-0.4093296484122895,-0.2112328487932661,Black Panther,Damage,-0.19809679961902343
1027,-0.9713183126970399,-0.665058830677258,Groot,Tank,-0.3062594820197819
1028,5.317683827295021,3.5879290410803346,Ultron,Support,1.729754786214686
1029,5.725274637168197,3.469499168891472,Magik,Damage,2.2557754682767253
1030,0.592736867615741,0.095207238423215,Moon Knight,Damage,0.49752962919252597
1031,-4.971294351398053,-3.005557865424292,Luna Snow,Support,-1.9657364859737614
1032,-5.37741274294287,-3.7769246295725742,Squirrel Girl,Damage,-1.6004881133702962
1033,0.0027406125892324128,0.0232996152695253,Black Widow,Damage,-0.020559002680292888
1034,2.4916634537348736,1.3401807564353423,Iron Man,Damage,1.1514826972995313
1035,-1.4559310996600001,-0.934493160074428,Venom,Tank,-0.5214379395855722
1036,0.9339633084276253,0.583177510327131,Spider-man,Damage,0.35078579810049426
1037,3.2241970385206606,1.9647457367284584,Magneto,Tank,1.2594513017922022
1038,-3.107838462240902,-2.4895977968278524,Scarlet Witch,Damage,-0.6182406654130497
1039,2.391379941086448,1.288513567464279,Thor,Tank,1.102866373622169
1040,3.8362335954405413,2.520471274627081,Mister Fantastic,Damage,1.3157623208134601
1041,1.6582613289022892,1.0026982456829792,Winter Soldier,Damage,0.65556308321931
1042,3.1421505886854355,1.508323143924083,Peni Parker,Tank,1.6338274447613526
1043,-3.6749504859010207,-2.408431162039145,Star-lord,Damage,-1.2665193238618757
1044,-0.1847889873129607,-0.1964774391709557,Blade,Damage,0.011688451857994997
1045,-0.7854800170011715,-0.8195718037731649,Namor,Damage,0.034091786771993315
1046,2.546670502378741,2.0849561724948744,Adam Warlock,Support,0.4617143298838666
1047,-2.432661559946303,-1.749230325639186,Jeff The Land Shark,Support,-0.6834312343071172
1048,-1.1895367483439296,-0.5818633296001482,Psylocke,Damage,-0.6076734187437814
1049,1.501957752394343,0.8223889869616107,Wolverine,Damage,0.6795687654327324
1050,-2.280879589603688,-1.3765375474359127,Invisible Woman,Support,-0.9043420421677755
1051,8.665918238790152,5.458551383538637,The Thing,Tank,3.2073668552515144
1052,2.98596818568926,1.3220389312805194,Iron Fist,Damage,1.6639292544087407
1053,-2.4951482082950056,-1.770334692289599,Emma Frost,Tank,-0.7248135160054066
1054,-6.287513100056866,-4.283093144866129,Phoenix,Damage,-2.0044199551907367
1055,3.864805019033609,2.924689977368577,Daredevil,Damage,0.9401150416650319
1056,2.3008536167268603,1.866857356932056,Angela,Tank,0.4339962597948044
1058,-0.38128194913944374,-0.2985676594961132,Gambit,Support,-0.08271428964333055
1059,-0.7744208840050351,-0.3853049792937649,Elsa Bloodstone,Damage,-0.38911590471127017
1060,-4.6624632112384115,-3.481049299643569,White Fox,Support,-1.1814139115948423
1061,6.535044944323633,4.850369818071364,Black Cat,Damage,1.6846751262522686
1062,-0.012961745667409985,-0.0286309581171748,Devil Dinosaur,Tank,0.015669212449764814
1063,-6.19386700097403,-4.039677307898817,Cyclops,Damage,-2.154189693075213
1064,-2.8729494435574012,-1.914736426271772,Jubilee,Support,-0.9582130172856291
1065,-4.348631896741046,-3.4137055329047947,Rogue,Tank,-0.9349263638362513
1066,1.272021841018547,0.4450571799956669,The Hood,Tank,0.8269646610228802
10571,-8.893672796690472,-4.8616400611955966,Deadpool (Vanguard),Tank,-4.032032735494876
10572,-3.602523128575799,-0.6716563072879036,Deadpool (Duelist),Damage,-2.9308668212878954
10573,-9.292978482199969,-5.892023123056514,Deadpool (Strategist),Support,-3.4009553591434543
