hero_id,name,weeks,starts,chi2,p,max_abs_weekly_shift_pp,range_pp
1066,The Hood,5,399600,49.382776650732126,4.857959315032891e-10,1.0973389882747209,1.3456593835502906
1018,Doctor Strange,5,133884,16.270338617847433,0.0026770560282412654,0.8947595675138975,2.178918762644244
1031,Luna Snow,5,195426,13.787787158960327,0.00800407826941375,1.0071354634663743,1.1653359593241985
1024,Hela,5,109553,13.471374887759398,0.00918812775821518,1.1141800647668954,2.148293369201398
1017,Human Torch,5,54986,10.133243706389376,0.03824203656961827,2.1379592264887837,3.1776349391552827
1032,Squirrel Girl,5,31982,9.206417729423823,0.05614209341681547,0.9569152512782786,2.375059040365085
1059,Elsa Bloodstone,5,88435,9.1331866047676,0.057855309393474406,0.846522034855407,1.4579680734190137
1051,The Thing,5,121530,9.093400019799375,0.058806854849889255,1.1924656016693458,1.7432156683998001
1041,Winter Soldier,5,226267,8.712722441685239,0.06869517239696248,0.6615781094483852,1.250421062041479
1025,Cloak & Dagger,5,316902,8.633282053623045,0.07094862121170845,0.5010979426823825,1.0494107429556698
1048,Psylocke,5,45882,8.443869796603718,0.07660699446001702,2.069078548081432,2.069078548081432
1064,Jubilee,5,287392,8.423369586367349,0.07724434166957836,0.7881457898187783,0.7881457898187783
1021,Hawkeye,5,39788,7.898064527580163,0.09538440260632967,2.5220229230299376,2.5220229230299376
1063,Cyclops,5,106688,7.163785128852225,0.12748195829312262,0.8391292582387355,1.064168133529092
1044,Blade,5,47068,5.412398623139532,0.2475376952888862,1.1023895575556164,1.580221752688099
1039,Thor,5,79515,5.32697886447342,0.25536194648625815,0.7564859709390692,1.048245667541392
1065,Rogue,5,52059,5.0172022001994945,0.28553699201698735,1.356812284208675,1.3690637174329667
1016,Loki,5,47769,4.79695761882307,0.30877238646373806,1.601069913567199,2.398909423246154
1029,Magik,5,151640,4.630858121233368,0.3273118099076565,0.5085963841999996,0.7064098884581149
1058,Gambit,5,193195,4.512380787233836,0.34108196210932645,0.7109344332443812,0.9080830404308071
1036,Spider-man,5,140784,4.29885242643177,0.3670688187395677,1.0238043985064837,1.0582987432261048
1038,Scarlet Witch,5,45548,4.219116340684792,0.3771631141199571,1.0407415515050034,1.0407415515050034
1055,Daredevil,5,74541,3.82792618469313,0.4297940879213259,0.8656283544762777,0.9124985877180802
1034,Iron Man,5,49757,3.743160677883508,0.44187960540447746,1.7987893862754012,1.8540769345797292
1054,Phoenix,5,45305,3.715628480030101,0.44585693181122665,2.086341117198182,2.4764982182445774
1046,Adam Warlock,5,39529,3.645183095891793,0.4561488504197685,0.776672198266759,1.3107700746089135
10571,Deadpool (Vanguard),5,40128,3.0156375791713916,0.5552119077285544,2.0865087270131424,2.0865087270131424
1040,Mister Fantastic,5,40461,2.952568336658489,0.5657940982487825,2.412375743032713,2.412375743032713
1011,Hulk,5,80414,2.950401375776167,0.5661596297740971,1.0162569316121028,1.0521651411222521
1049,Wolverine,5,41732,2.937515465299395,0.5683359062738731,1.0306777245515542,1.0306777245515542
10572,Deadpool (Duelist),5,56440,2.930922667762143,0.569451085411786,1.0262915766795777,1.043079935081792
1023,Rocket Raccoon,5,196428,2.8411457715132187,0.5847513037397528,0.92716287899135,0.92716287899135
1022,Captain America,5,32892,2.8213323339881593,0.5881560119398526,0.6944521381648139,1.2375800877837628
1030,Moon Knight,5,54182,2.7285643558257595,0.6042255516365523,1.2193983056500546,1.4308498519024826
1045,Namor,5,74441,2.4716488307351017,0.6497196028593388,0.9027796791324538,0.9027796791324538
1056,Angela,5,45165,2.4396065946431826,0.6554818203563415,0.8521447769654578,0.9619706308343301
1015,Storm,5,44613,2.433375673191648,0.6566043031189246,1.009973998511815,1.009973998511815
10573,Deadpool (Strategist),5,58883,2.395442314964154,0.6634510711563533,0.4858413549347351,0.8240947671647236
1033,Black Widow,5,83265,1.9181622379510137,0.7508078096808937,0.6511461215038483,0.6987185972846477
1050,Invisible Woman,5,226241,1.8989517906689235,0.7543375512067357,0.46878192068995905,0.46878192068995905
1060,White Fox,5,98466,1.7732741597434296,0.7773682065989934,0.48263310690924155,0.48263310690924155
1014,The Punisher,5,74381,1.715315738539233,0.7879336563752976,1.1039904803016753,1.1039904803016753
1028,Ultron,5,39047,1.4007293653778008,0.8440682392995252,0.9665526289567183,0.9900137556356992
1053,Emma Frost,5,165785,1.335406451844072,0.8553403150629932,0.34566973851027916,0.34566973851027916
1043,Star-lord,5,50961,1.2387699939413206,0.8716750694404543,0.893639909087468,0.893639909087468
1026,Black Panther,5,64931,1.2215228314755087,0.8745424711378518,0.564089591265482,0.564089591265482
1042,Peni Parker,5,43196,1.1735576004522752,0.8824327026201538,0.6006928612051765,0.8018364834681213
1061,Black Cat,5,65693,1.1350910313398008,0.8886654060539456,0.701450461670905,0.8099754560188854
1052,Iron Fist,5,84114,0.9710079787406272,0.9141597990957349,0.48531557639142076,0.542378827657608
1027,Groot,5,58261,0.9700594632766253,0.9143014587969344,0.6009106322962643,0.6009106322962643
1047,Jeff The Land Shark,5,70882,0.8565447210225157,0.9307107046561045,0.501376471448578,0.501376471448578
1035,Venom,5,102673,0.8170683855425301,0.9361452726606514,0.33921519943896916,0.3606412818179139
1062,Devil Dinosaur,5,68856,0.8141055039971309,0.9365470837820701,0.7367219660659785,0.8319507740700949
1020,Mantis,5,146405,0.724740215716694,0.9482432673384799,0.346215234950098,0.3743153334735738
1037,Magneto,5,395835,0.6806452450534883,0.95369413279292,0.22985723078410292,0.29142901144459943
