hero_id,name,role,effect_logodds,effect_pp,std_error,ci_low_pp,ci_high_pp,p_adjusted,within_role_logodds,within_role_pp,within_role_se,within_role_ci_low_pp,within_role_ci_high_pp
1029,Magik,Damage,0.3836058260032683,9.590145650081707,0.01218915123135607,8.99287723974526,10.187414060418156,0.0,0.5829803208981377,14.574508022453442,0.010846276729737085,14.043040462696323,15.10597558221056
1020,Mantis,Support,0.31482025520676304,7.870506380169076,0.015221128808013412,7.1246710685764185,8.616341691761734,0.0,0.5398515427725928,13.496288569314821,0.008754107833552915,13.067337285470728,13.925239853158914
1061,Black Cat,Damage,0.2652867464581707,6.632168661454267,0.014317162805704222,5.930627683974761,7.333709638933775,0.0,0.46466124135304004,11.616531033826002,0.01307839583538299,10.975689637892234,12.257372429759767
1015,Storm,Damage,0.2113101970624135,5.2827549265603375,0.016357635585847633,4.481230782853803,6.084279070266872,0.0,0.4106846919572828,10.26711729893207,0.015210589045613274,9.52179843569702,11.01243616216712
1055,Daredevil,Damage,0.1395617189184245,3.4890429729606125,0.01289872151553889,2.857005618699207,4.1210803272220184,0.0,0.33893621381329386,8.473405345332347,0.01156139315785381,7.90689708059751,9.039913610067183
1042,Peni Parker,Tank,0.8503200339252032,21.25800084813008,0.02179203747845829,20.190191011685624,22.325810684574535,0.0,0.2964188272240526,7.410470680601315,0.01914888541894822,6.4721752950728515,8.348766066129778
1051,The Thing,Tank,0.8421505524611262,21.053763811528157,0.013221741165249896,20.40589849443091,21.701629128625402,0.0,0.28824934575997574,7.2062336439993935,0.009448165657519046,6.7432735267809605,7.6691937612178265
1028,Ultron,Support,0.045321764436053055,1.1330441109013263,0.018859240778229164,0.20894131276809735,2.057146909034555,0.017191830550975465,0.2703530520018828,6.75882630004707,0.014802922288665497,6.033483107902462,7.484169492191679
1066,The Hood,Tank,0.8147354074836749,20.36838518709187,0.011846434866161257,19.78790987864997,20.948860495533776,0.0,0.2608342007825243,6.520855019563107,0.00769719596035238,6.14369241750584,6.898017621620374
1023,Rocket Raccoon,Support,-0.017998037773131744,-0.4499509443282936,0.014525858346693225,-1.1617180033162615,0.2618161146596744,0.21932041314772757,0.207033249792698,5.1758312448174495,0.006907988258913052,4.83733982013071,5.51432266950419
