teamup_id,name,effect_logodds,effect_pp,std_error
1032001,SQUIRREL MISSILE,0.4886482917625765,12.216207294064413,0.04727142614173387
1044001,BLADE OF KHONSHU,0.448810463168463,11.220261579211575,0.04318406938901566
1046002,FLAWLESS DESIGN,0.42328807383415606,10.582201845853902,0.03965203003460423
1052001,KUMIHO PALM,0.3161868652961313,7.904671632403283,0.024578228866676592
1065001,MR. & MRS. X,0.301654108500693,7.541352712517326,0.0250297359678017
1033002,BURNING BULLETS,0.248838943793104,6.2209735948276,0.04460345907331409
1028002,SP//DR SYNC,0.23553238155055012,5.888309538763753,0.07110439136998076
1017001,FIERY SPARKS,0.22198843559370127,5.549710889842531,0.02717937232083128
1026001,DAMISA-YAO,0.21999713312480265,5.499928328120066,0.0649196031230272
1014001,AMMO OVERLOAD,0.218451528608895,5.461288215222375,0.019212727764771568
1063001,SLIM AND RED,0.2158048632121735,5.3951215803043375,0.0330424574835563
1020002,VITALITY PACT,0.21426919456923293,5.356729864230823,0.040901973102220844
1042002,ROCKET NETWORK,0.20499707792540228,5.124926948135057,0.03330616031659682
1020001,STAR BLOSSOM,0.19685436883276627,4.9213592208191566,0.026066280861543736
1016001,VIBRANT VITALITY,0.18881002500216554,4.720250625054138,0.03546260433791689
1043001,FLORA MUNITIONS,0.1689965954307644,4.22491488576911,0.043232927886427464
1018002,PSIONIC VORTEX,0.16612380824907377,4.153095206226844,0.015308344337847694
1034002,THUNDER OVERDRIVE,0.1651926384333231,4.129815960833078,0.036694659135690755
1029002,VOID PENTAGRAM,0.1595089630666884,3.9877240766672104,0.01611128841127127
1031001,ATLAS BOND,0.15594866980991384,3.898716745247846,0.021271894547656902
1044002,BLEED FOR BATTLE,0.14678910391715275,3.669727597928819,0.05694101849738681
1064001,HELLFIRE SPARKS,0.14076831452957717,3.519207863239429,0.011883040967794096
1021002,SENBONZAKURA STRIKE,0.13854395945794973,3.4635989864487433,0.05464369915727525
1040001,FANTASTIC AMPLIFIER,0.13774758749605334,3.4436896874013336,0.02748199432253632
1041002,EXPERT INSTINCT,0.13098507913049456,3.274626978262364,0.02221927203392429
1032002,ESU ALUMNUS,0.13043215113474826,3.2608037783687065,0.048767215914490646
1056001,ODIN'S UNACKNOWLEDGED,0.1303999614700285,3.2599990367507123,0.05135535515629673
1035002,ABYSSAL FLAMES,0.12961385554409596,3.240346388602399,0.03236663284948037
1015002,JAWS OF FATE,0.12760546468933948,3.190136617233487,0.036743364907071904
1030001,LUMINOUS MOON,0.12415821521664029,3.103955380416007,0.02176815790164811
1038002,HEX FIREWORKS,0.12202979782057378,3.0507449455143445,0.02417793420934567
1018001,GAMMA MAELSTROM,0.12195816632866098,3.0489541582165245,0.030686035729607458
1060002,PSIONIC FOX,0.12176892899059537,3.044223224764884,0.0412409668803135
1045002,GAMMA MONSTRO,0.12145105309471996,3.036276327367999,0.02792671582501222
1043002,STAR-SOUL,0.11857695538435571,2.964423884608893,0.06349727534068864
1025001,OBLIVION SHROUD,0.11437757978580418,2.8594394946451045,0.011352990007219396
1024002,DEEP WRATH,0.11427381307630478,2.8568453269076195,0.0254004444307837
1027001,WILD WALL,0.11250216513977605,2.8125541284944013,0.029753963455626083
