hero_id,name,role,effect_logodds,effect_pp,std_error,ci_low_pp,ci_high_pp,p_adjusted,within_role_logodds,within_role_pp,within_role_se,within_role_ci_low_pp,within_role_ci_high_pp,n_start,pick_pct,raw_wr
1020,Mantis,Support,0.2901624009453944,7.25406002363486,0.0264474242109906,5.958136237296321,8.5499838099734,0.0,0.2707822494241991,6.769556235604977,0.0072449420446835,6.414554075415484,7.124558395794471,148036,2.5541305171115325,56.90321897706789
1051,The Thing,Tank,0.3523119943683335,8.80779985920834,0.0298056241012237,7.347324278248377,10.2682754401683,0.0,0.2187460260096981,5.468650650242454,0.0081782984924983,5.067914024110036,5.869387276374873,122883,2.120154694359591,52.44803210883179
1061,Black Cat,Damage,0.1105877090720212,2.7646927268005315,0.020180870174943,1.77583008822832,3.753555365372743,1.1707798308613349e-07,0.1941222088925794,4.853055222314486,0.0103943692375171,4.3437311296761445,5.362379314952828,66494,1.1472503621066108,55.16724588929379
1023,Rocket Raccoon,Support,0.1844597288882628,4.611493222206571,0.0261006352512301,3.3325620948962915,5.8904243495168505,7.901457266257239e-12,0.1650795773670675,4.126989434176688,0.0060153422893199,3.8322376620000096,4.421741206353367,198679,3.42789657251751,52.51113545253928
1028,Ultron,Support,0.1632012898956275,4.080032247390689,0.0281960735084315,2.698424645477546,5.4616398493038325,2.175344392273281e-08,0.1438211383744322,3.595528459360806,0.0118597089248842,3.0144027220414777,4.176654196680135,39543,0.6822528509155971,53.27810372919292
1029,Magik,Damage,0.0557029384701284,1.392573461753212,0.0193283718745891,0.4454832398983412,2.339663683608083,0.005875374703155,0.1392374382906866,3.4809359572671656,0.00876479954695,3.051460779466612,3.910411135067719,153326,2.645401224476768,56.77855376642515
1015,Storm,Damage,0.0394858926320978,0.9871473158024464,0.0211640888732854,-0.0498930389885422,2.024187670593435,0.0742117811472776,0.123020392452656,3.075509811316401,0.0121809615408895,2.478642695812812,3.6723769268199895,45132,0.7786823373927806,55.260741498546636
1055,Daredevil,Damage,0.0336701349796317,0.8417533744907927,0.0193245310072093,-0.105148644862466,1.7886553938440513,0.0933245408259138,0.1172046348001898,2.9301158700047467,0.0086614832851976,2.5057031890300623,3.354528550979431,75418,1.3012200771401385,53.629668252281135
1040,Mister Fantastic,Damage,0.0168952844632591,0.4223821115814787,0.0222755642971736,-0.6691205389800314,1.513884762142989,0.4740273924455372,0.1004297842838173,2.5107446070954325,0.0140225563682358,1.8236393450518769,3.197849869138988,40940,0.7063559091744315,50.382265913828405
1046,Adam Warlock,Support,0.1029835966628725,2.574589916571814,0.0286919966014031,1.1686820831030622,3.980497750040566,0.0005699256520102,0.0836034451416772,2.0900861285419308,0.0126019152990804,1.4725922788869874,2.7075799781968746,40028,0.6906207702108974,51.518497013418155
1037,Magneto,Tank,0.2116583207611922,5.291458019029806,0.0291718687985761,3.862036447899576,6.720879590160036,2.1994628340848976e-12,0.0780923524025568,1.952308810063921,0.0055569075499499,1.6800203401163716,2.22459728001147,400170,6.904309823505916,50.85332211037174
