mean_predicted,mean_actual,n,se,sample
0.27959397861705027,0.27340823970037453,1602,0.011135757831176329,holdout
0.3441123165445351,0.32459425717852686,1602,0.011698267138692774,holdout
0.3739597941346166,0.38451935081148564,1602,0.012154442570378484,holdout
0.39494259737299214,0.3757802746566791,1602,0.01210053237640923,holdout
0.41218277016995764,0.43196004993757803,1602,0.012375990740691121,holdout
0.4277065593973517,0.43472829481574016,1601,0.012389161421924422,holdout
0.44201323950047794,0.45346658338538415,1601,0.012441860824385283,holdout
0.45504647970597645,0.44097439100562147,1601,0.012408716725352603,holdout
0.4668002808587663,0.4634603372891943,1601,0.012462682661396128,holdout
0.4782608331549021,0.4759525296689569,1601,0.012481634707784149,holdout
0.4892819960780557,0.4871955028107433,1601,0.012491997309651537,holdout
0.5001925147780423,0.49031855090568394,1601,0.01249375283100598,holdout
0.5107683281126139,0.5227982510930669,1601,0.012483098873817449,holdout
0.5209660805320384,0.5040599625234229,1601,0.012495683619634082,holdout
0.5312345576464788,0.5277951280449719,1601,0.012476772444384773,holdout
0.5419703355503943,0.5365396627108058,1601,0.012462682661396128,holdout
0.553211865437744,0.584634603372892,1601,0.012315775087157421,holdout
0.5647789679707503,0.5877576514678327,1601,0.012302114975076198,holdout
0.57694031853188,0.5977514053716427,1601,0.012254960187070226,holdout
0.5903646161427213,0.6158650843222986,1601,0.012155953146454823,holdout
0.605296873081007,0.6014990630855716,1601,0.012235915948388762,holdout
0.622525098428942,0.6464709556527171,1601,0.011947894871020449,holdout
0.6432621846291476,0.6833229231730169,1601,0.01162587482928043,holdout
0.6719101377663942,0.6833229231730169,1601,0.01162587482928043,holdout
0.7322790629859784,0.7251717676452217,1601,0.011157205962141816,holdout
0.2823559008932128,0.29287958115183244,19100,0.0032928697528482685,in_sample
0.3442704077827188,0.34109947643979055,19100,0.0034303131572298857,in_sample
0.3739524321706256,0.37717277486910994,19100,0.0035070122183739794,in_sample
0.39524747353811013,0.3953926701570681,19100,0.003537808551604787,in_sample
0.41276248123576315,0.41,19100,0.00355878089603288,in_sample
0.4281307535589544,0.4269109947643979,19100,0.003579010929164957,in_sample
0.44192172786563466,0.4353403141361257,19100,0.0035874937293046616,in_sample
0.4545099709961425,0.4587434554973822,19100,0.0036055360105447932,in_sample
0.4664785854918163,0.4728519817791507,19099,0.003612630810385881,in_sample
0.4778907416654903,0.4740038745484057,19099,0.0036130743951262255,in_sample
0.4889386788925204,0.48379496308707265,19099,0.003616067059677597,in_sample
0.4996801759030329,0.4980365464160427,19099,0.0036179398431751405,in_sample
0.5103429113330494,0.5090318864862035,19099,0.003617377419495104,in_sample
0.5209217932427309,0.5169380595842714,19099,0.0036158911685429257,in_sample
0.5315821721905236,0.5266244305984606,19099,0.0036128348303736805,in_sample
0.5425408900865604,0.540028273731609,19099,0.0036063552332056695,in_sample
0.5537970224379617,0.5494528509346039,19099,0.003600228157235018,in_sample
0.565484323098498,0.5665741661867113,19099,0.0035857537928842284,in_sample
0.5780719889536082,0.5781454526414995,19099,0.003573506777685566,in_sample
0.5916658060711205,0.5943243101733076,19099,0.0035530058682093847,in_sample
0.6067041756642901,0.6075187182575004,19099,0.0035333283008116474,in_sample
0.6238945237154798,0.6225980417822923,19099,0.0035075238717256867,in_sample
0.6446169592908553,0.6479396827059009,19099,0.0034559743706004996,in_sample
0.6733855416369721,0.6765275668883187,19099,0.0033849797281539367,in_sample
0.7330834041531148,0.7403005392952511,19099,0.0031727382353527356,in_sample
