hero_id,name,role,effect_logodds,effect_pp,std_error,ci_low_pp,ci_high_pp,p_adjusted,within_role_logodds,within_role_pp,within_role_se,within_role_ci_low_pp,within_role_ci_high_pp,within_role_p_raw,within_role_p_adjusted,within_role_significant
1037,Magneto,Tank,0.0785898294691383,1.9647457367284584,0.0055580309069121,1.6924022222897657,2.237089251167151,0.0,0.0785898294691383,1.9647457367284584,0.0055580309069121,1.6924022222897657,2.237089251167151,0.0,0.0,True
1056,Angela,Tank,0.0746742942772822,1.866857356932056,0.0104359676399348,1.3554949425752465,2.3782197712888657,1.9107400846725877e-12,0.0746742942772822,1.866857356932056,0.0104359676399348,1.3554949425752465,2.3782197712888657,8.337774914934926e-13,1.9107400846725873e-12,True
1042,Peni Parker,Tank,0.0603329257569633,1.508323143924083,0.0131297171315671,0.8649670044772931,2.1516792833708727,6.795688606540752e-06,0.0603329257569633,1.508323143924083,0.0131297171315671,0.8649670044772931,2.1516792833708727,4.324529113253206e-06,6.795688606540752e-06,True
1034,Iron Man,Damage,0.0536072302574137,1.3401807564353423,0.0111730228246614,0.7927026380269333,1.887658874843752,2.593486276618726e-06,0.0536072302574137,1.3401807564353423,0.0111730228246614,0.7927026380269333,1.887658874843752,1.6032460619097577e-06,2.593486276618726e-06,True
1011,Hulk,Tank,0.0533332889927593,1.3333322248189845,0.0087479608306533,0.9046821441169716,1.7619823055209969,2.127551547635521e-09,0.0533332889927593,1.3333322248189845,0.0087479608306533,0.9046821441169716,1.7619823055209969,1.0831171515235383e-09,2.1275515476355214e-09,True
1052,Iron Fist,Damage,0.0528815572512207,1.3220389312805194,0.0089672782812744,0.8826422954980708,1.7614355670629682,6.775044396468663e-09,0.0528815572512207,1.3220389312805194,0.0089672782812744,0.8826422954980708,1.7614355670629682,3.6979062034703247e-09,6.775044396468663e-09,True
1039,Thor,Tank,0.0515405426985711,1.288513567464279,0.0087477499503672,0.8598738198962839,1.7171533150322742,6.775044396468663e-09,0.0515405426985711,1.288513567464279,0.0087477499503672,0.8598738198962839,1.7171533150322742,3.818661387100519e-09,6.775044396468663e-09,True
1016,Loki,Support,0.0471629099915538,1.1790727497888458,0.0107084230597094,0.6543600198630813,1.7037854797146104,1.6215074639453546e-05,0.0471629099915538,1.1790727497888458,0.0107084230597094,0.6543600198630813,1.7037854797146104,1.0613503400369595e-05,1.6215074639453546e-05,True
1024,Hela,Damage,0.0455097375357538,1.1377434383938474,0.0079541730633576,0.747988958289322,1.5274979184983728,1.814873369643255e-08,0.0455097375357538,1.1377434383938474,0.0079541730633576,0.747988958289322,1.5274979184983728,1.0559263241560757e-08,1.814873369643255e-08,True
1041,Winter Soldier,Damage,0.0401079298273191,1.0026982456829792,0.0056256844017933,0.7270397099951063,1.278356781370852,2.2172930158603775e-12,0.0401079298273191,1.0026982456829792,0.0056256844017933,0.7270397099951063,1.278356781370852,1.0078604617547171e-12,2.2172930158603775e-12,True
1049,Wolverine,Damage,0.0328955594784644,0.8223889869616107,0.012675687287379,0.2012803098800378,1.4434976640431834,0.0118694633783383,0.0328955594784644,0.8223889869616107,0.012675687287379,0.2012803098800378,1.4434976640431834,0.009454422813665042,0.011869463378338385,True
1036,Spider-man,Damage,0.0233271004130852,0.583177510327131,0.0069802646773608,0.241144541136447,0.9252104795178152,0.001116333679041,0.0233271004130852,0.583177510327131,0.0069802646773608,0.241144541136447,0.9252104795178152,0.0008321760152851798,0.0011163336790410948,True
1066,The Hood,Tank,0.0178022871998266,0.4450571799956669,0.0068637261546852,0.1087345984160906,0.7813797615752435,0.0118694633783383,0.0178022871998266,0.4450571799956669,0.0068637261546852,0.1087345984160906,0.7813797615752435,0.009495570702670708,0.011869463378338385,True
1030,Moon Knight,Damage,0.0038082895369286,0.095207238423215,0.011883549865827,-0.4870867050023091,0.6775011818487393,0.7918033642107466,0.0038082895369286,0.095207238423215,0.011883549865827,-0.4870867050023091,0.6775011818487393,0.7486140897992513,0.7918033642107466,False
1033,Black Widow,Damage,0.000931984610781,0.0232996152695253,0.0080144303202136,-0.3694074704209439,0.4160067009599946,0.9074240447602546,0.000931984610781,0.0232996152695253,0.0080144303202136,-0.3694074704209439,0.4160067009599946,0.9074240447602546,0.9074240447602546,False
1062,Devil Dinosaur,Tank,-0.0011452383246869,-0.0286309581171748,0.0092557577078046,-0.4821630857996032,0.4249011695652534,0.9074240447602546,-0.0011452383246869,-0.0286309581171748,0.0092557577078046,-0.4821630857996032,0.4249011695652534,0.9015270537992461,0.9074240447602546,False
1025,Cloak & Dagger,Support,-0.0015372383018284,-0.0384309575457122,0.0067976880844118,-0.3715176736818913,0.2946557585904669,0.8520760761104774,-0.0015372383018284,-0.0384309575457122,0.0067976880844118,-0.3715176736818913,0.2946557585904669,0.8210914915246419,0.8520760761104774,False
1044,Blade,Damage,-0.0078590975668382,-0.1964774391709557,0.0126899572887971,-0.8182853463220183,0.4253304679801069,0.5777243132526791,-0.0078590975668382,-0.1964774391709557,0.0126899572887971,-0.8182853463220183,0.4253304679801069,0.5357079995615752,0.5777243132526791,False
1026,Black Panther,Damage,-0.0084493139517306,-0.2112328487932661,0.009561814129171,-0.6797617411226481,0.2572960435361158,0.4230333136603495,-0.0084493139517306,-0.2112328487932661,0.009561814129171,-0.6797617411226481,0.2572960435361158,0.37688422489740225,0.4230333136603495,False
1017,Human Torch,Damage,-0.0112089141205646,-0.2802228530141166,0.0140502012732986,-0.9686827154057503,0.4082370093775173,0.4675005061518894,-0.0112089141205646,-0.2802228530141166,0.0140502012732986,-0.9686827154057503,0.4082370093775173,0.42500046013808124,0.4675005061518894,False
1058,Gambit,Support,-0.0119427063798445,-0.2985676594961132,0.0084024362158619,-0.7102870340733498,0.1131517150811234,0.1778543776707443,-0.0119427063798445,-0.2985676594961132,0.0084024362158619,-0.7102870340733498,0.1131517150811234,0.15521836596719507,0.17785437767074433,False
1059,Elsa Bloodstone,Damage,-0.0154121991717505,-0.3853049792937649,0.009155926085727,-0.8339453574943901,0.0633353989068603,0.1080298555154729,-0.0154121991717505,-0.3853049792937649,0.009155926085727,-0.8339453574943901,0.0633353989068603,0.09231642198594958,0.10802985551547291,False
