teamup_id,name,effect_logodds,effect_pp,std_error,anchor,partner
1032001,SQUIRREL MISSILE,0.4510174122350474,11.275435305876185,0.0387304803839745,Squirrel Girl,Iron Man
1044001,BLADE OF KHONSHU,0.4461213629100783,11.153034072751955,0.0352652517029728,Blade,Moon Knight
1046002,FLAWLESS DESIGN,0.4234721761845771,10.58680440461443,0.0330095689044784,Adam Warlock,Ultron
1065001,MR. & MRS. X,0.338783780581492,8.4695945145373,0.0206900560179163,Rogue,Gambit
1052001,KUMIHO PALM,0.3206462065152354,8.016155162880885,0.0202612102300201,Iron Fist,White Fox
1020001,STAR BLOSSOM,0.2119898817584197,5.299747043960494,0.0217473825459946,Mantis,Star-lord
1063001,SLIM AND RED,0.210025902000185,5.250647550004625,0.0272265451027459,Cyclops,Phoenix
1033002,BURNING BULLETS,0.2092224705568756,5.230561763921891,0.0374511584109136,Black Widow,Phoenix
1014001,AMMO OVERLOAD,0.2058862003208798,5.147155008021995,0.0159722878572238,The Punisher,Rocket Raccoon
1026001,DAMISA-YAO,0.2056185196971585,5.140462992428964,0.0542967052981521,Black Panther,Storm
1042002,ROCKET NETWORK,0.2023423269525893,5.058558173814735,0.0275224585323719,Peni Parker,Rocket Raccoon
1017001,FIERY SPARKS,0.2002853392756287,5.00713348189072,0.0223673384663349,Human Torch,Jubilee
1020002,VITALITY PACT,0.1985860939259479,4.964652348148698,0.0339584323272678,Mantis,Adam Warlock
1029002,VOID PENTAGRAM,0.1637216203805505,4.093040509513764,0.0133231548130323,Magik,The Hood
1015002,JAWS OF FATE,0.1624412257557964,4.061030643894912,0.0300268592372361,Storm,Jeff The Land Shark
1034002,THUNDER OVERDRIVE,0.1566281104920896,3.915702762302241,0.0303533001955257,Iron Man,Thor
1031001,ATLAS BOND,0.1558822428036439,3.8970560700910974,0.017599221723557,Luna Snow,White Fox
1018001,GAMMA MAELSTROM,0.1517255282497211,3.793138206243028,0.0250717126688357,Doctor Strange,Hulk
1021002,SENBONZAKURA STRIKE,0.1510514254424376,3.776285636060941,0.0442693444233599,Hawkeye,Psylocke
1044002,BLEED FOR BATTLE,0.1504989497860609,3.762473744651524,0.0459586816708125,Blade,Captain America
1028002,SP//DR SYNC,0.1491162012459902,3.727905031149755,0.0578859580583697,Ultron,Peni Parker
1016001,VIBRANT VITALITY,0.1465522088815852,3.66380522203963,0.0289565479816933,Loki,Mantis
1018002,PSIONIC VORTEX,0.1456588429902967,3.64147107475742,0.0126289638080118,Doctor Strange,Invisible Woman
1049001,BLAST SLASH,0.1383820840082061,3.459552100205153,0.0373453498870799,Wolverine,Cyclops
1064001,HELLFIRE SPARKS,0.1343103165908307,3.357757914770769,0.0098631772466775,Jubilee,The Hood
1035002,ABYSSAL FLAMES,0.1314044052628154,3.2851101315703866,0.0265868249127213,Venom,Phoenix
1040001,FANTASTIC AMPLIFIER,0.1287367932462049,3.2184198311551238,0.0227078910062929,Mister Fantastic,Rocket Raccoon
1041002,EXPERT INSTINCT,0.1261560656026472,3.1539016400661803,0.018487113391531,Winter Soldier,Elsa Bloodstone
1011001,SAVAGE SLAM,0.1243526917945516,3.108817294863791,0.0492475008893937,Hulk,Captain America
1030001,LUMINOUS MOON,0.1215293425040667,3.0382335626016683,0.0180988822736365,Moon Knight,Cloak & Dagger
1025001,OBLIVION SHROUD,0.121295430003167,3.0323857500791767,0.0094536516072351,Cloak & Dagger,The Hood
1043001,FLORA MUNITIONS,0.1205909673736372,3.0147741843409315,0.0360454938697701,Star-lord,Groot
1027001,WILD WALL,0.1163118800881539,2.907797002203848,0.0247158031115345,Groot,Mantis
1024002,DEEP WRATH,0.1140854772538895,2.8521369313472387,0.0212155807860266,Hela,Namor
1038002,HEX FIREWORKS,0.1139478289365647,2.8486957234141195,0.019824847850209,Scarlet Witch,Jubilee
1038001,SORCERERS SUPREME,0.1113344112902874,2.783360282257187,0.0235798952050818,Scarlet Witch,Doctor Strange
