teamup_id,name,effect_logodds,effect_pp,std_error,anchor,partner
1025002,FROZEN HAVEN,0.0426939021299715,1.067347553249289,0.0127018472962059,Cloak & Dagger,Luna Snow
1022002,STARS ALIGNED,0.0390367405932404,0.9759185148310116,0.0268678027720609,Captain America,Winter Soldier
1045002,GAMMA MONSTRO,0.0343570813140494,0.8589270328512351,0.0233938248663946,Namor,Hulk
1062002,SURF & TURF,0.033153411946125,0.828835298653125,0.0271686561062448,Devil Dinosaur,Jeff The Land Shark
1054002,TELEKINETIC BEATDOWN,0.031581569477066,0.7895392369266505,0.0426514325493649,Phoenix,Rogue
1052002,IRON & STONE,0.0291559810223696,0.7288995255592401,0.0196165194407567,Iron Fist,The Thing
1053001,ICED OUT DIAMOND,0.0278093474695989,0.695233686739974,0.013299819951783,Emma Frost,Luna Snow
1049001,BLAST SLASH,0.0271246837461747,0.678117093654368,0.0352202897662455,Wolverine,Cyclops
1060002,PSIONIC FOX,0.0244902212498381,0.6122555312459528,0.0311228741958333,White Fox,Psylocke
1042001,VIBRANIUM MECH,0.0208784133765661,0.5219603344141541,0.0416454611208033,Peni Parker,Black Panther
1023002,MAMMALIAN BOND,0.0198739593750321,0.4968489843758043,0.029053934671007,Rocket Raccoon,Squirrel Girl
1016002,VILLAIN'S ILLUSION,0.0179797370741113,0.4494934268527832,0.0283378912653602,Loki,Hela
1024002,DEEP WRATH,0.0082176397353733,0.2054409933843328,0.0220836252785142,Hela,Namor
1058002,SPARKLING STAFF,0.0082040380268745,0.2051009506718646,0.0128988660090567,Gambit,Jubilee
1040002,CLOBBERIN' RESEARCH DEPT.,0.0069637080972473,0.1740927024311839,0.0309293870524995,Mister Fantastic,The Thing
1031002,DUALITY DANCE,0.0063064825134092,0.1576620628352318,0.0305073619830407,Luna Snow,Adam Warlock
1062001,PRIMAL PUNISHMENT,0.0039794982504613,0.0994874562615342,0.0279828449519091,Devil Dinosaur,The Punisher
1045001,CHILLING CHARISMA,0.0035455426053395,0.0886385651334892,0.0193181764901748,Namor,Luna Snow
1036001,SYMBIOTE BOND,0.0023906086202908,0.0597652155072724,0.0169547548082396,Spider-man,Venom
1027002,BUBBLE BUDDIES,-0.0006345563777323,-0.0158639094433086,0.0327606201114234,Groot,Jeff The Land Shark
1048001,LIGHT & DARK DARTS,-0.0010013553739589,-0.0250338843489744,0.0205587127911153,Psylocke,Cloak & Dagger
1035001,BLOOD LEECH,-0.0014606190579473,-0.0365154764486847,0.0300036684684795,Venom,Blade
1022001,VOLTAIC UNION,-0.0022286325812749,-0.055715814531873,0.0431695177551332,Captain America,Thor
1030002,BLOOD MOON,-0.0024432590177378,-0.0610814754434465,0.0376088542267336,Moon Knight,Elsa Bloodstone
1041001,TIMELESS VETERANS,-0.0026172628174966,-0.0654315704374152,0.021519786613739,Winter Soldier,The Punisher
1037002,MAGNETIC RESONANCE,-0.004716564418971,-0.1179141104742756,0.0125046725652408,Magneto,Emma Frost
1061001,FELINE ALLIANCE,-0.0100239929868804,-0.2505998246720123,0.0407090775211053,Black Cat,Black Panther
1064002,VAMPIRIC KIN,-0.016321989104859,-0.4080497276214752,0.020750359945084,Jubilee,Blade
1050002,FIRST FAMILY,-0.0174053484138774,-0.4351337103469362,0.0245535257897571,Invisible Woman,Mister Fantastic
1051001,TWO-IN-ONE,-0.018021471330392,-0.4505367832598003,0.0219370813291341,The Thing,Human Torch
1048002,MENTAL PROJECTION,-0.0197211124674619,-0.4930278116865496,0.0245871393812716,Psylocke,Emma Frost
1037001,METALLIC CHAOS,-0.0218867724208122,-0.5471693105203058,0.0204389876701399,Magneto,Scarlet Witch
1023001,PLANET X PALS,-0.0220431927542007,-0.5510798188550191,0.0207160642661334,Rocket Raccoon,Groot
1039002,DIVINE ARMORY,-0.0322981690568012,-0.807454226420031,0.0402835599230148,Thor,Angela
1034001,GAMMA CHARGE,-0.0344628603541746,-0.8615715088543674,0.0318261696578006,Iron Man,Hulk
1063002,KINETIC KIN,-0.0398415314065094,-0.9960382851627372,0.0164421058799155,Cyclops,Gambit
1015001,GODS OF THUNDER,-0.0469600265807207,-1.1740006645180183,0.0293160412903394,Storm,Thor
1011002,GAMMA FASTBALL,-0.055792068610023,-1.3948017152505756,0.0321991541419242,Hulk,Wolverine
1033001,ALLIED AGENTS,-0.061414362040703,-1.5353590510175752,0.0450408029673541,Black Widow,Hawkeye
1055001,COMPREHENSIVE DEFENSE,-0.0718322302602162,-1.7958057565054066,0.0296408885786531,Daredevil,Iron Fist
1017002,STORMING IGNITION,-0.0720195756242778,-1.8004893906069457,0.0422823423294618,Human Torch,Storm
1026002,DIMENSIONAL SHORTCUT,-0.0834617732518661,-2.0865443312966527,0.026628411912503,Black Panther,Magik
1061002,BINDING TIES,-0.0897730906068386,-2.2443272651709667,0.0250645779144619,Black Cat,Spider-man
