kind,hero_a,hero_b,role_a,role_b,n_cooccur,effect_pp,se_pp,z,p_raw,is_teamup,q
counter,Cloak & Dagger,Venom,Support,Tank,32659,1.7404029871359246,0.6092700984999455,2.8565376692880333,0.004282891800967963,False,0.06849771620348094
counter,Captain America,Daredevil,Tank,Damage,2513,-1.736538678652648,1.1066518531477878,-1.5691824612349354,0.11660542972166345,False,0.4193949413827146
counter,Adam Warlock,Jeff The Land Shark,Support,Support,2972,1.7330621451227892,1.090509040458904,1.5892230883234941,0.11201003565747118,False,0.413403193141959
counter,Ultron,Venom,Support,Tank,4253,1.7299763523893372,0.9469117784241572,1.8269667690356008,0.06770476598951175,False,0.32099552096608436
counter,Storm,White Fox,Damage,Support,4399,1.7261697619917575,0.9255867131043041,1.8649465658408129,0.06218889441394762,False,0.3106770576983087
counter,Ultron,Invisible Woman,Support,Support,9494,1.7221518234875597,0.7739564562481258,2.225127537324203,0.026072677606642166,False,0.20440638424292337
counter,Magik,The Hood,Damage,Tank,65419,1.7204577597843946,0.3975322188221658,4.327844834519019,1.505754850793304e-05,True,0.0009262322787315733
counter,Daredevil,Gambit,Damage,Support,14705,-1.7202046200553687,0.7080076226063454,-2.4296413839767483,0.015113768876163489,False,0.15363530310981444
counter,Namor,Daredevil,Damage,Damage,5499,1.7178422175072101,0.7878973218984756,2.180286910187724,0.029236200748825478,False,0.21618049522363475
counter,Iron Fist,Angela,Damage,Tank,3926,1.7169874363679096,0.920084103731583,1.866120096417629,0.062024564914374095,False,0.3106770576983087
counter,Hulk,Storm,Tank,Damage,3698,1.7125091288505936,0.9485726853807122,1.8053536173279894,0.07101936436581899,False,0.3289101450069493
counter,Ultron,Gambit,Support,Support,7605,1.7117490973062022,0.8057168445609842,2.124504543825062,0.0336279765056457,False,0.2325739820398376
counter,The Punisher,Ultron,Damage,Support,2999,1.7055916416254566,1.0715439785586238,1.5917140833731485,0.1114489624399602,False,0.4126019458232477
counter,Namor,The Hood,Damage,Tank,30909,-1.7026164401650234,0.5359340003133807,-3.1769143946259053,0.0014885096601921519,False,0.03346703319803184
counter,Mister Fantastic,Cyclops,Damage,Damage,4811,-1.6875581630844836,0.8256901323251878,-2.0438153455125216,0.04097179260010945,False,0.25934387980913604
counter,Magneto,Rogue,Tank,Tank,21528,-1.6822743462837144,0.6005882361055572,-2.8010444513402755,0.005093750209705499,True,0.07643270916989148
counter,Mister Fantastic,Deadpool (Strategist),Damage,Support,2728,1.6755828301980822,1.093573441893691,1.5322087808721396,0.1254709223860269,False,0.43486839308984465
counter,Magneto,Namor,Tank,Damage,29866,1.6688623316729396,0.5421199870798109,3.078400301494971,0.0020811515320229373,False,0.040923627256746115
counter,Rocket Raccoon,Iron Fist,Support,Damage,17768,-1.6668240638607632,0.6677132062076031,-2.496317353565297,0.01254902754434962,False,0.14068624297208931
counter,Storm,Jubilee,Damage,Support,13564,1.6643394635544266,0.6863158549214431,2.425034263189111,0.015306942019365628,False,0.15494242153779805
counter,Mantis,The Thing,Support,Tank,19224,1.6579403916856237,0.6381551716930226,2.5980207717930353,0.009376282185326077,False,0.11654767338133296
counter,Storm,Gambit,Damage,Support,9457,1.6565347285804697,0.7399999967431179,2.238560453879996,0.025184529779037713,False,0.1987423912497088
counter,Scarlet Witch,Deadpool (Strategist),Damage,Support,3232,-1.656325123045248,1.0358613656211846,-1.5989833948985868,0.10982429224868101,False,0.40911254208786607
counter,Hela,Black Widow,Damage,Damage,10232,-1.6540488863799094,0.6084880438680536,-2.7182931580140934,0.00656196695706369,False,0.09152417866276624
counter,Groot,Wolverine,Tank,Damage,2644,-1.6497978701339646,1.0798720136446933,-1.5277716704275959,0.12656923835104247,False,0.43588323455408484
counter,Magik,Iron Man,Damage,Damage,7819,-1.6428260846456075,0.6761555733887383,-2.429656944794725,0.015113120077474618,False,0.15363530310981444
counter,Peni Parker,Cyclops,Tank,Damage,5201,-1.6397366461172131,0.8342723874913046,-1.965469156959607,0.049359962063871735,False,0.28397091659196977
counter,Doctor Strange,Hawkeye,Tank,Damage,5842,-1.6389578267710587,0.793631747326743,-2.065136421635978,0.03891009412231532,False,0.2489208421318252
counter,Captain America,The Thing,Tank,Tank,3803,-1.635656998010792,0.9625843124796588,-1.6992350454967096,0.08927490563079889,False,0.3661034164244214
counter,Star-lord,Deadpool (Duelist),Damage,Damage,3055,1.6268349896540746,1.0031747512891707,1.6216865382262102,0.1048704826480653,False,0.39879848631728276
counter,Cyclops,Deadpool (Vanguard),Damage,Tank,4802,1.6255172587703828,0.8496616063670837,1.9131348840400615,0.05573078694690004,False,0.2996969049107074
counter,Rocket Raccoon,Luna Snow,Support,Support,41773,1.6244095605719506,0.5412472102715895,3.0012340567203055,0.0026888779841653223,False,0.050342477476482406
counter,Daredevil,Deadpool (Duelist),Damage,Damage,4081,1.6238157148818493,0.8765816154922825,1.8524409891598341,0.06396252396863472,False,0.31251750509318676
counter,Loki,Iron Fist,Support,Damage,4275,1.6237160736350786,0.9588822387598813,1.6933425273733556,0.09039028765791692,False,0.3687862246451406
counter,Iron Fist,Gambit,Damage,Support,16976,-1.6191868372816782,0.6809969179413115,-2.3776713148373165,0.017422347910176883,False,0.16326645561138414
counter,Spider-man,Gambit,Damage,Support,28071,-1.6144781415100298,0.5453753272827221,-2.960306527898879,0.0030733308859171617,False,0.05401968995270753
counter,The Punisher,Mister Fantastic,Damage,Damage,3167,1.6086952425197802,0.9859356730994787,1.6316432059533224,0.10275467079545536,False,0.3956797034322591
counter,The Punisher,Adam Warlock,Damage,Support,3085,-1.597817826760203,1.0416322076544562,-1.5339558579492887,0.1250405126846685,False,0.4343475290137763
counter,Hela,Invisible Woman,Damage,Support,26539,-1.5947430610637623,0.5780470128072047,-2.758846643492049,0.0058005748931237245,False,0.08380644365865678
counter,Venom,Peni Parker,Tank,Tank,4517,-1.5701163633138706,0.9049043572720439,-1.735118579876439,0.08271980399987434,False,0.3558616009844187
counter,Groot,Deadpool (Strategist),Tank,Support,3520,1.566442260795188,1.0740167133784477,1.458489650377746,0.14470562581078736,False,0.46472395759046703
counter,Magik,Squirrel Girl,Damage,Damage,4626,-1.5661144274990004,0.8362094199464163,-1.872873457463988,0.06108586121346104,False,0.3104766547692649
counter,Black Panther,Elsa Bloodstone,Damage,Damage,4872,-1.5651404050979139,0.8149384049682172,-1.920562824817361,0.05478684564921639,False,0.2980354710033336
counter,The Punisher,Iron Man,Damage,Damage,3999,1.5644259112453645,0.8998979808368786,1.7384480736255175,0.08213189218567221,False,0.3558616009844187
counter,Psylocke,Elsa Bloodstone,Damage,Damage,3874,-1.5624266765037507,0.8947012010642627,-1.7463111423626312,0.08075690075654375,False,0.3558616009844187
counter,Iron Fist,The Hood,Damage,Tank,35922,1.5615404861991524,0.504833789411808,3.0931774357230224,0.0019802569738492882,False,0.03958863733553702
counter,Thor,Wolverine,Tank,Damage,3438,1.556227588550508,0.9629135299146628,1.6161654605563875,0.10605854426012365,False,0.40005416301892555
counter,Wolverine,Iron Fist,Damage,Damage,3736,1.555520754483789,0.9112289765680668,1.7070580441178442,0.08781126435695975,False,0.36261201797916776
counter,Groot,Devil Dinosaur,Tank,Tank,4411,-1.5508516582448078,0.9573011714819257,-1.6200248202392267,0.10522694532673614,False,0.39879848631728276
counter,Rocket Raccoon,Gambit,Support,Support,37201,1.5507011616820494,0.5656078453950786,2.7416542650657196,0.0061130647944886716,False,0.0862661320116372
counter,Human Torch,Black Panther,Damage,Damage,4034,-1.549268234638036,0.8930204559998536,-1.7348630977365762,0.08276505680011319,False,0.3558616009844187
counter,Mister Fantastic,Devil Dinosaur,Damage,Tank,3101,-1.548232877818576,1.0177537860491301,-1.521225368100805,0.128203291469253,False,0.43773792679419743
counter,Wolverine,Jubilee,Damage,Support,11859,-1.54740560114492,0.6889745871848927,-2.245954538711686,0.024706919972335633,False,0.19561683502849236
counter,Mantis,Magik,Support,Damage,23253,-1.546822407128527,0.5491401434115419,-2.816808105702978,0.0048503495776142085,False,0.07555560838635692
counter,Human Torch,Iron Man,Damage,Damage,2916,-1.541239098926215,1.0169007579483897,-1.515623906147621,0.12961447860678618,False,0.44105692791160295
counter,Rocket Raccoon,Namor,Support,Damage,15089,1.5388333229221083,0.7098015401980322,2.1679768720884702,0.030160446270697448,False,0.21925730485879752
counter,Hawkeye,Devil Dinosaur,Damage,Tank,2779,1.5385969148739227,1.05815658486412,1.454035193734108,0.14593654911415085,False,0.46618080069886536
counter,Ultron,Cyclops,Support,Damage,4548,1.5378902912374846,0.900809501351731,1.7072314278765566,0.08777904573937978,False,0.36261201797916776
counter,Winter Soldier,The Hood,Damage,Tank,93724,-1.5368002100828146,0.35090346626625774,-4.379552662830423,1.1892318040559877e-05,False,0.0007507808152448196
counter,Loki,Gambit,Support,Support,8858,1.5306643099119368,0.8098527263293246,1.8900526727244678,0.0587509158663946,False,0.307917050937548
counter,Magneto,The Thing,Tank,Tank,47367,-1.5303635376358298,0.4600562991119283,-3.3264701311338936,0.0008795344557821236,False,0.024278106135879246
counter,Black Panther,Wolverine,Damage,Damage,2815,1.522415280324603,1.0259643260596585,1.4838871505129474,0.13783886130839682,False,0.45547579652733333
counter,Captain America,Jubilee,Tank,Support,9908,-1.5197139939064963,0.750709029430263,-2.024371539875917,0.04293193778866973,False,0.26389068945387734
counter,Captain America,White Fox,Tank,Support,3605,-1.5185811367565671,1.0072208914949714,-1.5076942402401992,0.1316328003422835,False,0.4460269604818335
counter,The Punisher,Magneto,Damage,Tank,29877,-1.5180130331151533,0.5397048077189374,-2.8126728007686945,0.004913161695819792,False,0.07555560838635692
counter,Namor,Black Cat,Damage,Damage,4760,1.515990753807431,0.8436266528329633,1.796992483246727,0.07233681308707995,False,0.33180882331912964
counter,Groot,Elsa Bloodstone,Tank,Damage,5613,1.514097487475573,0.8320655116811938,1.81968542887486,0.06880692355742182,False,0.32398373367637023
counter,Human Torch,Rogue,Damage,Tank,2931,1.510655080662422,1.0641544143341701,1.4195825909415811,0.15572923664318877,False,0.4758278543170046
counter,Human Torch,Venom,Damage,Tank,5882,-1.509740627220397,0.8124551268335979,-1.8582449385289102,0.06313423904234698,False,0.3106770576983087
counter,Ultron,Namor,Support,Damage,3079,-1.5019503121078566,1.059882963193514,-1.4170907206417938,0.15645640520234144,False,0.4758278543170046
counter,Black Widow,Emma Frost,Damage,Tank,14477,-1.4983730662713866,0.5896333498718549,-2.541194568789279,0.011047442231119732,False,0.1299157544728247
counter,Gambit,Rogue,Support,Tank,14333,1.4903391031553324,0.7200660350213507,2.0697255955297797,0.03847804843502837,True,0.24795674421167718
